name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,79,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,80,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,81,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,82,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,83,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,84,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,85,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,86,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,87,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,88,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,89,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,90,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,91,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,92,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,93,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,94,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,95,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,96,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,97,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,98,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,99,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,100,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,101,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,102,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,103,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,104,nan,0.0122,nan,0.0100,nan,0.0098
