round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
1,7.1175,0.0122,6.3893,0.0100,7.1054,0.0098
2,4.8457,0.0096,4.7920,0.0103,4.8211,0.0101
3,9.6164,0.0096,8.8991,0.0100,9.4962,0.0100
4,4.6090,0.0112,4.6103,0.0070,4.6111,0.0088
5,28.3149,0.0122,24.2017,0.0100,28.3966,0.0098
6,8.8806,0.0098,7.6867,0.0095,8.7747,0.0106
7,5.5117,0.0100,5.3716,0.0100,5.4223,0.0100
8,12.9795,0.0096,12.2142,0.0100,12.7681,0.0100
9,5.0503,0.0094,4.9751,0.0100,5.0424,0.0101
10,13.3209,0.0080,10.9669,0.0100,13.2237,0.0102
11,5.0555,0.0068,4.8811,0.0094,5.0722,0.0098
12,7.9903,0.0088,7.2409,0.0097,7.9834,0.0104
13,7.2314,0.0118,6.3877,0.0100,7.2559,0.0098
14,4.7729,0.0102,4.6952,0.0095,4.7628,0.0101
15,8.0187,0.0100,6.8689,0.0100,7.8562,0.0100
16,4.7212,0.0102,4.6881,0.0100,4.7186,0.0100
17,7.5412,0.0086,6.6838,0.0100,7.5492,0.0102
18,4.9211,0.0094,4.8452,0.0126,4.9316,0.0122
19,9.5798,0.0096,8.6846,0.0100,9.5827,0.0100
20,4.8927,0.0128,4.7992,0.0097,4.8940,0.0096
21,4.8313,0.0102,4.7622,0.0092,4.8297,0.0108
22,5.4112,0.0118,5.2558,0.0100,5.4066,0.0121
23,4.9256,0.0104,4.8222,0.0100,4.9169,0.0100
24,7.7781,0.0080,6.6593,0.0100,7.7142,0.0102
25,5.0478,0.0118,4.9171,0.0104,5.0451,0.0111
26,7.8177,0.0098,6.6115,0.0102,7.7971,0.0100
27,4.8637,0.0136,4.7953,0.0114,4.8477,0.0127
28,6.3905,0.0084,5.9773,0.0089,6.3493,0.0094
29,4.9249,0.0104,4.8390,0.0079,4.9278,0.0094
30,5.3266,0.0114,5.1296,0.0105,5.3177,0.0116
31,5.5020,0.0092,5.2133,0.0100,5.5047,0.0101
32,4.8065,0.0086,4.7591,0.0115,4.8008,0.0107
33,5.6440,0.0108,5.3361,0.0100,5.6359,0.0099
34,4.8475,0.0108,4.7921,0.0118,4.8540,0.0115
35,5.3838,0.0098,5.1761,0.0101,5.3855,0.0110
36,4.9349,0.0100,4.8680,0.0103,4.9409,0.0101
37,4.8557,0.0168,4.8338,0.0124,4.8725,0.0143
38,5.3568,0.0076,5.2068,0.0100,5.3607,0.0103
39,5.0324,0.0066,4.9350,0.0077,5.0378,0.0072
40,5.1194,0.0128,4.9855,0.0138,5.1153,0.0126
41,4.8382,0.0156,4.7893,0.0156,4.8404,0.0157
42,5.3117,0.0090,5.1197,0.0104,5.3096,0.0099
43,5.4210,0.0090,5.1988,0.0086,5.4164,0.0093
44,4.8298,0.0138,4.8015,0.0140,4.8329,0.0135
45,5.3359,0.0104,5.1719,0.0104,5.3246,0.0105
46,5.0618,0.0102,4.9721,0.0100,5.0481,0.0100
47,4.8053,0.0098,4.7816,0.0096,4.8055,0.0101
48,5.0373,0.0180,5.0135,0.0160,5.0480,0.0159
49,4.7960,0.0138,4.7969,0.0100,4.8128,0.0101
50,5.1137,0.0108,5.0480,0.0114,5.1242,0.0110
