name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,1,22.8994,0.0094,19.3603,0.0100,22.8389,0.0101
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,2,4.7536,0.0102,4.7492,0.0100,4.7553,0.0100
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,3,10.9943,0.0100,10.7286,0.0100,10.9688,0.0100
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,4,4.6345,0.0100,4.6372,0.0100,4.6420,0.0100
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,5,4.7781,0.0130,4.7657,0.0129,4.7914,0.0110
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,6,17.9950,0.0122,16.8256,0.0100,18.1123,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,7,7.4596,0.0122,7.6065,0.0100,7.2975,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,8,6.5951,0.0102,6.2567,0.0100,6.5135,0.0100
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,9,4.8688,0.0102,4.7825,0.0104,4.8531,0.0108
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,10,7.9099,0.0100,7.0931,0.0113,7.8469,0.0109
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,11,5.0825,0.0086,4.9445,0.0097,5.0635,0.0102
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,12,6.6903,0.0074,6.1772,0.0100,6.6941,0.0103
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,13,4.8640,0.0102,4.8012,0.0100,4.8690,0.0100
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,14,5.2832,0.0106,5.1256,0.0115,5.2903,0.0106
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,15,5.7687,0.0112,5.5110,0.0109,5.7594,0.0104
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,16,4.8478,0.0142,4.7984,0.0143,4.8532,0.0135
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,17,6.8725,0.0098,6.4318,0.0100,6.8634,0.0100
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,18,4.6885,0.0098,4.6813,0.0087,4.6926,0.0080
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,19,5.2538,0.0100,5.1190,0.0100,5.2523,0.0100
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,20,4.9305,0.0076,4.8712,0.0075,4.9304,0.0081
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,21,5.8568,0.0110,5.6058,0.0112,5.8434,0.0102
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,22,5.0075,0.0090,4.9274,0.0100,5.0021,0.0101
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,23,5.0172,0.0090,4.9461,0.0100,5.0188,0.0101
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,24,5.0498,0.0100,4.9815,0.0100,5.0596,0.0100
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,25,5.2597,0.0104,5.1637,0.0101,5.2655,0.0100
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,26,5.1637,0.0154,5.1028,0.0132,5.1833,0.0133
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,27,5.4907,0.0076,5.3570,0.0100,5.4970,0.0103
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,28,5.0855,0.0120,5.0402,0.0127,5.1018,0.0121
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,29,5.0030,0.0098,4.9659,0.0100,5.0137,0.0102
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,30,5.1232,0.0144,5.0948,0.0122,5.1407,0.0111
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,31,5.0810,0.0104,5.0347,0.0100,5.0887,0.0100
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,32,5.2337,0.0092,5.1815,0.0099,5.2317,0.0097
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,33,5.2025,0.0098,5.0914,0.0100,5.1976,0.0100
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,34,5.1463,0.0138,5.0828,0.0124,5.1419,0.0128
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,35,5.3131,0.0094,5.2143,0.0100,5.3102,0.0101
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,36,5.4301,0.0084,5.3305,0.0100,5.4312,0.0102
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,37,5.5142,0.0100,5.4614,0.0102,5.5190,0.0106
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,38,5.5222,0.0092,5.3353,0.0082,5.4860,0.0086
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,39,5.6077,0.0082,5.4781,0.0114,5.5491,0.0111
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,40,4.8573,0.0106,4.8304,0.0099,4.8534,0.0099
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,41,5.4719,0.0108,5.3878,0.0101,5.4483,0.0115
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,42,4.8616,0.0154,4.8509,0.0156,4.8645,0.0159
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,43,5.5736,0.0130,5.4196,0.0137,5.5482,0.0130
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,44,4.9158,0.0098,4.8785,0.0097,4.9096,0.0097
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,45,5.4706,0.0098,5.3619,0.0100,5.4680,0.0101
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,46,5.4302,0.0116,5.1749,0.0114,5.3917,0.0125
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,47,6.1112,0.0094,5.5725,0.0128,6.0544,0.0125
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,48,4.9097,0.0100,4.8984,0.0100,4.9014,0.0100
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,49,5.0458,0.0094,5.0236,0.0099,5.0339,0.0099
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,50,5.7389,0.0084,5.6477,0.0100,5.6946,0.0102
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,51,5.1701,0.0128,5.1156,0.0119,5.1492,0.0118
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,52,5.4632,0.0098,5.4484,0.0100,5.4206,0.0100
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,53,5.2007,0.0094,5.1491,0.0100,5.1826,0.0101
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,54,5.5281,0.0096,5.3317,0.0106,5.4877,0.0101
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,55,5.4871,0.0094,5.3726,0.0131,5.4424,0.0132
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,56,5.1182,0.0088,5.1184,0.0102,5.1099,0.0106
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,57,5.0109,0.0140,4.9744,0.0152,4.9966,0.0153
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,58,5.2742,0.0098,5.2461,0.0101,5.2332,0.0101
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,59,6.0276,0.0116,5.8840,0.0149,5.9433,0.0148
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,60,5.2351,0.0088,5.2032,0.0102,5.1884,0.0104
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,61,5.3995,0.0090,5.3094,0.0107,5.3649,0.0104
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,62,5.5679,0.0120,5.4488,0.0122,5.5060,0.0133
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,63,5.5681,0.0090,5.4606,0.0103,5.5142,0.0104
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,64,5.1128,0.0100,5.0819,0.0118,5.0603,0.0104
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,65,4.8739,0.0098,4.8860,0.0102,4.8585,0.0101
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,66,6.5969,0.0100,6.1989,0.0102,6.5378,0.0112
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,67,5.2782,0.0130,5.2223,0.0151,5.2525,0.0130
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,68,5.3395,0.0184,5.2437,0.0173,5.3393,0.0174
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,69,5.1630,0.0100,5.1637,0.0103,5.1396,0.0104
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,70,5.5881,0.0154,5.5726,0.0162,5.5670,0.0150
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,71,4.8812,0.0132,4.8388,0.0121,4.8505,0.0124
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,72,5.1636,0.0206,5.1933,0.0188,5.1581,0.0184
hetetogeneous_WD_1e-05_shard_non_iid_50_J_16_LR_0.01,73,5.8961,0.0158,5.9769,0.0144,5.8493,0.0139
