Nc_label,J,mean,std,count
Nc=0,4,4.284433333333333,0.023320448823582595,3
Nc=1,4,3.6179,0.955725525451738,2
Nc=1,8,3.0423,,1
Nc=1,16,3.3472,,1
Nc=10,4,3.6643499999999998,0.879428703761709,2
Nc=10,8,3.2489,,1
Nc=10,16,3.6074,,1
Nc=5,4,2.671,,1
Nc=5,8,3.0748,,1
Nc=5,16,3.1617,,1
Nc=50,4,4.1548,,1
Nc=50,8,4.39,,1
Nc=50,16,4.3472,,1
iid,4,4.23,,1
iid,8,4.4759,,1
iid,16,4.2707,,1
