round,val_loss,val_acc,test_loss,test_acc
145,2.9716,0.2844,2.9242,0.2934
146,2.9726,0.2882,2.9133,0.2964
147,2.9361,0.2844,2.8892,0.2996
148,2.9424,0.2890,2.8957,0.2971
149,2.9444,0.2854,2.8827,0.3045
150,2.9196,0.2936,2.9239,0.2966
151,2.9586,0.2844,2.9037,0.3040
152,2.9660,0.2872,2.9240,0.3003
153,2.9325,0.2910,2.9072,0.3040
154,2.9360,0.2976,2.8946,0.3027
155,2.9227,0.2924,2.8818,0.3020
156,2.9711,0.2870,2.9002,0.3035
157,2.9271,0.2976,2.8587,0.3123
158,2.9326,0.2972,2.8543,0.3123
159,2.9664,0.2900,2.8754,0.3077
160,2.9030,0.2932,2.8527,0.3099
161,2.9207,0.2966,2.8332,0.3195
162,2.9379,0.2868,2.8954,0.3081
163,2.8988,0.2936,2.8234,0.3162
164,2.8821,0.3018,2.8354,0.3139
165,2.9167,0.2976,2.8703,0.3064
166,2.8838,0.2962,2.8080,0.3175
167,2.9189,0.3026,2.8642,0.3144
168,2.8968,0.2970,2.8308,0.3130
169,2.9321,0.2974,2.8458,0.3123
170,2.9073,0.2958,2.8779,0.3077
171,2.8898,0.3050,2.8671,0.3135
172,2.8915,0.2958,2.8090,0.3160
173,2.9116,0.3024,2.8494,0.3129
174,2.8911,0.3014,2.8103,0.3231
175,2.8816,0.3030,2.8367,0.3141
176,2.9033,0.3076,2.8419,0.3215
177,2.8956,0.2974,2.8150,0.3237
178,2.9179,0.3088,2.8478,0.3179
179,2.8625,0.3056,2.8302,0.3204
180,2.8748,0.3126,2.8263,0.3231
181,2.9021,0.3066,2.8186,0.3248
182,2.8769,0.3114,2.8137,0.3232
183,2.8999,0.3064,2.8364,0.3199
184,2.8948,0.3174,2.8037,0.3258
185,2.8493,0.3046,2.7658,0.3298
186,2.9099,0.3080,2.8212,0.3255
187,2.8435,0.3056,2.7904,0.3253
188,2.8488,0.3152,2.8143,0.3221
189,2.8786,0.3174,2.8103,0.3249
190,2.8598,0.3076,2.7970,0.3214
191,2.8666,0.3160,2.8007,0.3273
192,2.8346,0.3134,2.7601,0.3324
193,2.8502,0.3150,2.7674,0.3317
194,2.8753,0.3102,2.8051,0.3240
195,2.8226,0.3216,2.7750,0.3328
196,2.8572,0.3084,2.7735,0.3337
197,2.8617,0.3134,2.7808,0.3276
198,2.8834,0.3148,2.8121,0.3299
199,2.8515,0.3190,2.7930,0.3325
200,2.8364,0.3114,2.7724,0.3369
201,2.8203,0.3256,2.7714,0.3345
202,2.8494,0.3132,2.7684,0.3327
203,2.7907,0.3276,2.7422,0.3322
204,2.8189,0.3264,2.7608,0.3410
205,2.8700,0.3142,2.7967,0.3319
206,2.8096,0.3250,2.7220,0.3421
207,2.8120,0.3274,2.7563,0.3390
208,2.8162,0.3218,2.7592,0.3411
209,2.7873,0.3260,2.7399,0.3414
210,2.7957,0.3306,2.7278,0.3448
211,2.8181,0.3294,2.7406,0.3412
212,2.8208,0.3314,2.7528,0.3400
213,2.7973,0.3332,2.7257,0.3429
214,2.7923,0.3290,2.7437,0.3430
215,2.8224,0.3308,2.7393,0.3418
216,2.7663,0.3284,2.7487,0.3389
217,2.7897,0.3294,2.7276,0.3428
218,2.8023,0.3232,2.7469,0.3411
219,2.7970,0.3270,2.7401,0.3464
220,2.8151,0.3298,2.7360,0.3438
221,2.7801,0.3376,2.7175,0.3461
222,2.7902,0.3244,2.7239,0.3466
223,2.7946,0.3266,2.7229,0.3503
224,2.8207,0.3232,2.7400,0.3481
225,2.7713,0.3348,2.7188,0.3481
226,2.8050,0.3256,2.7339,0.3435
227,2.7957,0.3268,2.7342,0.3455
228,2.7991,0.3338,2.7110,0.3531
229,2.8120,0.3368,2.7338,0.3494
230,2.7686,0.3340,2.7184,0.3457
231,2.7766,0.3286,2.7236,0.3501
232,2.7917,0.3362,2.7278,0.3497
233,2.7905,0.3294,2.7305,0.3478
234,2.7943,0.3304,2.7149,0.3507
235,2.7689,0.3342,2.6898,0.3497
236,2.7477,0.3374,2.7272,0.3527
237,2.7947,0.3264,2.7305,0.3462
238,2.7977,0.3330,2.7271,0.3463
239,2.7671,0.3354,2.6791,0.3522
240,2.7867,0.3410,2.7155,0.3523
241,2.7600,0.3374,2.6727,0.3550
242,2.7938,0.3384,2.6865,0.3579
243,2.7671,0.3382,2.6906,0.3525
244,2.7953,0.3392,2.7333,0.3555
245,2.7948,0.3492,2.7335,0.3565
246,2.7587,0.3400,2.6971,0.3572
247,2.7714,0.3336,2.6817,0.3544
248,2.8180,0.3334,2.7068,0.3554
249,2.7544,0.3314,2.6605,0.3603
250,2.7825,0.3354,2.7064,0.3564
251,2.7674,0.3392,2.7082,0.3602
252,2.7678,0.3346,2.6868,0.3604
253,2.7589,0.3396,2.6646,0.3640
254,2.7325,0.3418,2.6675,0.3638
255,2.7715,0.3442,2.7172,0.3571
256,2.7513,0.3368,2.6778,0.3607
257,2.8116,0.3334,2.7156,0.3556
258,2.7585,0.3454,2.6897,0.3653
259,2.7591,0.3454,2.6568,0.3671
260,2.7667,0.3438,2.6711,0.3632
261,2.7591,0.3404,2.6769,0.3626
262,2.7449,0.3444,2.6818,0.3632
263,2.7585,0.3430,2.6811,0.3652
264,2.7505,0.3426,2.7000,0.3613
265,2.7558,0.3422,2.6896,0.3672
266,2.7504,0.3448,2.6904,0.3644
267,2.8146,0.3420,2.6999,0.3718
268,2.7334,0.3520,2.6534,0.3688
269,2.7442,0.3438,2.6592,0.3678
270,2.7252,0.3448,2.6415,0.3715
271,2.7169,0.3506,2.6489,0.3694
272,2.7485,0.3460,2.6612,0.3678
273,2.7155,0.3526,2.6482,0.3667
274,2.7156,0.3526,2.6377,0.3740
275,2.7849,0.3454,2.6810,0.3731
276,2.7146,0.3516,2.6475,0.3700
277,2.7572,0.3488,2.6741,0.3773
278,2.7167,0.3470,2.6467,0.3683
279,2.7735,0.3426,2.6941,0.3710
280,2.7413,0.3428,2.6482,0.3714
281,2.7617,0.3516,2.6597,0.3750
282,2.7284,0.3602,2.6563,0.3776
283,2.7200,0.3574,2.6579,0.3759
284,2.7298,0.3542,2.6534,0.3732
285,2.7389,0.3538,2.6581,0.3744
286,2.7713,0.3442,2.6711,0.3744
287,2.7287,0.3464,2.6569,0.3736
288,2.7417,0.3504,2.6656,0.3718
289,2.7468,0.3452,2.6459,0.3721
290,2.7131,0.3516,2.6248,0.3749
291,2.7117,0.3572,2.6463,0.3787
292,2.7733,0.3556,2.6568,0.3806
293,2.7044,0.3606,2.6355,0.3789
294,2.7589,0.3506,2.6713,0.3792
295,2.7503,0.3534,2.6526,0.3735
296,2.7148,0.3532,2.6301,0.3788
297,2.7385,0.3540,2.6382,0.3758
298,2.7720,0.3466,2.6775,0.3779
299,2.7167,0.3610,2.6364,0.3799
300,2.7504,0.3540,2.6704,0.3788
301,2.7002,0.3618,2.6318,0.3811
302,2.7241,0.3606,2.6670,0.3811
303,2.7184,0.3628,2.6422,0.3814
304,2.8011,0.3546,2.6942,0.3801
305,2.7125,0.3568,2.6375,0.3793
306,2.7245,0.3628,2.6408,0.3812
307,2.7692,0.3510,2.6764,0.3845
308,2.7528,0.3580,2.6553,0.3839
309,2.7810,0.3638,2.7028,0.3768
310,2.7169,0.3700,2.6270,0.3852
311,2.7316,0.3660,2.6385,0.3876
312,2.7131,0.3548,2.6295,0.3840
313,2.7401,0.3594,2.6520,0.3783
314,2.7113,0.3584,2.6544,0.3780
315,2.7235,0.3550,2.6446,0.3797
316,2.7553,0.3652,2.6870,0.3779
