round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
56,3.4313,0.1834,3.4144,0.1925,3.3941,0.1902
57,3.4400,0.1894,3.4080,0.1981,3.3923,0.1891
58,3.4483,0.1810,3.4359,0.1917,3.3963,0.1892
59,3.4215,0.1930,3.3897,0.1970,3.3695,0.1934
60,3.4346,0.1864,3.3843,0.1974,3.3666,0.1920
61,3.4019,0.1902,3.3845,0.1970,3.3395,0.1991
62,3.4001,0.1932,3.4004,0.1978,3.3532,0.1959
63,3.3511,0.2052,3.3822,0.2004,3.3303,0.1984
64,3.3748,0.1960,3.3722,0.2030,3.3203,0.2010
65,3.3702,0.2044,3.3443,0.2055,3.3125,0.2042
66,3.3473,0.2008,3.3351,0.2083,3.2833,0.2076
67,3.3594,0.2044,3.3221,0.2102,3.2845,0.2090
68,3.3562,0.2078,3.3398,0.2077,3.2867,0.2057
69,3.3189,0.2064,3.3287,0.2075,3.2665,0.2100
70,3.3210,0.2094,3.2927,0.2151,3.2573,0.2125
71,3.2890,0.2176,3.2724,0.2194,3.2281,0.2180
72,3.3103,0.2170,3.3235,0.2143,3.2456,0.2158
73,3.2863,0.2224,3.2890,0.2164,3.2211,0.2181
74,3.3209,0.2140,3.2894,0.2164,3.2359,0.2206
75,3.3044,0.2136,3.2897,0.2207,3.2135,0.2226
76,3.2847,0.2226,3.2480,0.2236,3.1971,0.2231
77,3.2663,0.2182,3.2402,0.2268,3.1868,0.2238
78,3.2719,0.2266,3.2583,0.2266,3.1803,0.2277
79,3.2683,0.2144,3.2284,0.2278,3.1676,0.2260
80,3.2578,0.2192,3.2482,0.2248,3.1606,0.2307
81,3.2532,0.2260,3.2341,0.2333,3.1619,0.2329
82,3.2135,0.2220,3.1935,0.2366,3.1247,0.2373
83,3.2465,0.2302,3.2111,0.2352,3.1446,0.2350
84,3.2018,0.2380,3.1811,0.2368,3.1144,0.2398
85,3.2350,0.2284,3.1751,0.2382,3.1069,0.2432
86,3.2436,0.2278,3.1809,0.2380,3.1313,0.2395
87,3.1952,0.2340,3.1976,0.2344,3.0938,0.2444
88,3.2086,0.2312,3.1739,0.2413,3.0984,0.2415
89,3.1965,0.2284,3.1698,0.2420,3.0769,0.2480
90,3.1816,0.2366,3.1590,0.2420,3.0611,0.2493
91,3.1855,0.2460,3.1555,0.2420,3.0673,0.2475
92,3.1675,0.2390,3.1511,0.2417,3.0489,0.2527
93,3.1653,0.2426,3.1666,0.2389,3.0417,0.2533
94,3.1657,0.2476,3.1763,0.2471,3.0461,0.2550
95,3.1625,0.2340,3.1514,0.2466,3.0420,0.2536
96,3.1508,0.2372,3.1298,0.2453,3.0271,0.2567
97,3.1796,0.2460,3.1548,0.2446,3.0253,0.2569
98,3.1452,0.2472,3.1460,0.2497,3.0145,0.2578
99,3.1590,0.2454,3.1026,0.2566,3.0052,0.2632
100,3.1561,0.2484,3.1329,0.2505,3.0067,0.2662
101,3.1235,0.2518,3.0923,0.2517,2.9879,0.2637
102,3.1026,0.2570,3.1046,0.2557,2.9911,0.2635
103,3.1285,0.2474,3.1100,0.2505,2.9807,0.2619
104,3.1226,0.2520,3.0886,0.2608,2.9848,0.2663
105,3.0832,0.2630,3.1088,0.2578,2.9662,0.2704
106,3.1037,0.2564,3.0823,0.2598,2.9625,0.2725
107,3.1108,0.2538,3.0937,0.2590,2.9586,0.2696
108,3.0786,0.2518,3.0607,0.2607,2.9339,0.2710
109,3.0922,0.2570,3.0717,0.2649,2.9357,0.2751
110,3.0917,0.2598,3.0916,0.2605,2.9408,0.2732
111,3.0890,0.2604,3.0549,0.2639,2.9189,0.2788
112,3.0734,0.2608,3.0371,0.2695,2.9085,0.2802
113,3.0556,0.2626,3.0440,0.2693,2.9139,0.2789
114,3.0735,0.2576,3.0256,0.2712,2.8981,0.2800
115,3.0765,0.2608,3.0528,0.2661,2.9078,0.2804
116,3.0689,0.2600,3.0451,0.2704,2.9007,0.2833
117,3.0422,0.2662,3.0386,0.2677,2.8761,0.2828
118,3.0471,0.2658,3.0237,0.2717,2.8671,0.2862
119,3.0499,0.2682,3.0487,0.2701,2.8872,0.2833
120,3.0565,0.2722,3.0496,0.2661,2.8785,0.2825
121,3.0537,0.2676,3.0094,0.2756,2.8680,0.2869
122,3.0371,0.2698,3.0306,0.2737,2.8659,0.2883
123,3.0298,0.2670,3.0304,0.2717,2.8442,0.2910
124,3.0307,0.2748,3.0411,0.2740,2.8438,0.2924
125,3.0433,0.2674,3.0340,0.2746,2.8539,0.2904
126,3.0503,0.2696,3.0113,0.2819,2.8492,0.2920
127,3.0359,0.2726,2.9874,0.2825,2.8387,0.2959
128,2.9840,0.2846,2.9808,0.2837,2.8134,0.2967
129,3.0126,0.2770,2.9776,0.2822,2.8062,0.3013
130,3.0356,0.2778,3.0012,0.2824,2.8169,0.2996
131,3.0144,0.2768,2.9764,0.2884,2.8043,0.3018
132,2.9957,0.2814,2.9684,0.2855,2.8050,0.2974
133,2.9957,0.2792,2.9744,0.2885,2.7995,0.3026
134,3.0194,0.2818,2.9902,0.2834,2.8042,0.3024
135,3.0080,0.2760,2.9912,0.2861,2.7898,0.3004
136,3.0178,0.2728,2.9669,0.2860,2.7930,0.3003
137,2.9605,0.2800,2.9481,0.2858,2.7514,0.3092
138,2.9764,0.2816,2.9445,0.2948,2.7528,0.3074
139,2.9833,0.2796,2.9339,0.2967,2.7478,0.3116
140,2.9781,0.2832,2.9573,0.2880,2.7565,0.3087
141,2.9704,0.2816,2.9505,0.2912,2.7399,0.3120
142,2.9905,0.2820,2.9652,0.2896,2.7513,0.3132
143,2.9857,0.2788,2.9353,0.2926,2.7397,0.3125
144,3.0014,0.2846,2.9390,0.2903,2.7354,0.3164
145,2.9860,0.2814,2.9756,0.2901,2.7480,0.3113
146,2.9613,0.2854,2.9231,0.2968,2.7290,0.3146
147,2.9860,0.2830,2.9271,0.2967,2.7297,0.3155
148,2.9620,0.2828,2.9166,0.3015,2.7104,0.3200
