1,4.6051,0.0096,4.6047,0.0128
2,4.6030,0.0132,4.6022,0.0156
3,4.6000,0.0118,4.5987,0.0138
4,4.5962,0.0116,4.5936,0.0133
5,4.5883,0.0134,4.5857,0.0179
6,4.5747,0.0238,4.5720,0.0236
7,4.5507,0.0260,4.5469,0.0283
8,4.5100,0.0298,4.5093,0.0296
9,4.4557,0.0368,4.4545,0.0378
10,4.3676,0.0418,4.3621,0.0462
11,4.2586,0.0526,4.2530,0.0540
12,4.1682,0.0652,4.1687,0.0652
13,4.1084,0.0738,4.1038,0.0737
14,4.0767,0.0794,4.0666,0.0781
15,4.0755,0.0782,4.0510,0.0804
16,4.0436,0.0838,4.0292,0.0814
17,4.0277,0.0872,3.9958,0.0909
18,3.9941,0.0974,3.9777,0.0981
19,3.9898,0.0926,3.9510,0.0924
20,3.9716,0.0934,3.9480,0.0896
21,3.9348,0.1006,3.9055,0.1064
22,3.9150,0.0986,3.9125,0.1039
23,3.8943,0.1104,3.8636,0.1120
24,3.8654,0.1036,3.8389,0.1093
25,3.8440,0.1094,3.8089,0.1184
26,3.8309,0.1148,3.7900,0.1285
27,3.8034,0.1192,3.7814,0.1234
28,3.7995,0.1224,3.7581,0.1245
29,3.7675,0.1270,3.7213,0.1367
30,3.7422,0.1280,3.7107,0.1348
31,3.7443,0.1272,3.7032,0.1463
32,3.6974,0.1354,3.6849,0.1417
33,3.6937,0.1364,3.6738,0.1417
34,3.6759,0.1420,3.6472,0.1515
35,3.6714,0.1446,3.6485,0.1524
36,3.6528,0.1370,3.6388,0.1444
37,3.6383,0.1372,3.6288,0.1521
38,3.6269,0.1512,3.6217,0.1512
39,3.5993,0.1528,3.6047,0.1587
40,3.6086,0.1552,3.5854,0.1643
41,3.5843,0.1582,3.5624,0.1659
42,3.5733,0.1590,3.5549,0.1669
43,3.5690,0.1604,3.5284,0.1673
44,3.5505,0.1612,3.5269,0.1730
45,3.5447,0.1736,3.5096,0.1745
46,3.5431,0.1604,3.5275,0.1701
47,3.5184,0.1724,3.5106,0.1700
48,3.5248,0.1712,3.4852,0.1787
49,3.5258,0.1734,3.4904,0.1762
50,3.4877,0.1752,3.4512,0.1805
51,3.4924,0.1714,3.4641,0.1809
52,3.4943,0.1752,3.4568,0.1826
53,3.4646,0.1794,3.4488,0.1863
54,3.4521,0.1790,3.4286,0.1859
55,3.4634,0.1758,3.4478,0.1865
56,3.4373,0.1826,3.4338,0.1884
57,3.4058,0.1884,3.3728,0.1987
58,3.4213,0.1948,3.3879,0.1951
59,3.3788,0.1938,3.4065,0.1947
60,3.3852,0.1936,3.3801,0.1969
61,3.3605,0.1884,3.3653,0.2047
62,3.3754,0.1948,3.3426,0.2011
63,3.3666,0.1978,3.3543,0.2074
64,3.3554,0.2028,3.3509,0.1997
65,3.3390,0.2042,3.3263,0.2080
66,3.3534,0.2010,3.3292,0.2070
67,3.3395,0.2074,3.3202,0.2080
68,3.3147,0.2080,3.2965,0.2129
69,3.3014,0.2126,3.2912,0.2135
70,3.3008,0.2134,3.2933,0.2119
71,3.2793,0.2132,3.2602,0.2179
72,3.2916,0.2128,3.2858,0.2207
73,3.2721,0.2132,3.2498,0.2206
74,3.2651,0.2234,3.2463,0.2277
75,3.2756,0.2128,3.2522,0.2246
76,3.2585,0.2154,3.2238,0.2292
77,3.2296,0.2262,3.2268,0.2249
78,3.2363,0.2308,3.2136,0.2327
79,3.2332,0.2176,3.2377,0.2247
80,3.2187,0.2264,3.2301,0.2262
81,3.2196,0.2276,3.1971,0.2380
82,3.2054,0.2312,3.2086,0.2342
83,3.1921,0.2300,3.1676,0.2351
84,3.1954,0.2248,3.1643,0.2379
85,3.1929,0.2304,3.1449,0.2422
86,3.1893,0.2314,3.1805,0.2375
87,3.1770,0.2336,3.1657,0.2356
88,3.1740,0.2354,3.1577,0.2388
89,3.1609,0.2344,3.1265,0.2509
90,3.1588,0.2440,3.1506,0.2506
91,3.1283,0.2444,3.1082,0.2487
92,3.1467,0.2500,3.1268,0.2501
93,3.1499,0.2460,3.1213,0.2486
94,3.1697,0.2362,3.0971,0.2571
95,3.1256,0.2444,3.1044,0.2553
96,3.1374,0.2412,3.1030,0.2525
97,3.1238,0.2496,3.1115,0.2519
98,3.1307,0.2506,3.0845,0.2548
