round,val_loss,val_acc,test_loss,test_acc
140,2.9617,0.2838,2.9022,0.2995
141,2.9638,0.2850,2.8824,0.3027
142,2.9521,0.2848,2.8958,0.3010
143,2.9624,0.2896,2.8910,0.3073
144,2.9349,0.2942,2.8930,0.3045
145,2.9510,0.2892,2.8712,0.3067
146,2.9446,0.2934,2.8752,0.3072
147,2.9555,0.2914,2.8892,0.3055
148,2.9637,0.2834,2.8891,0.3055
149,2.9133,0.2938,2.8581,0.3037
150,2.9035,0.3052,2.8492,0.3121
151,2.9146,0.2906,2.8591,0.3090
152,2.8920,0.2970,2.8430,0.3142
153,2.8942,0.2928,2.8179,0.3164
154,2.9159,0.2998,2.8453,0.3115
155,2.8956,0.3008,2.8428,0.3100
156,2.9320,0.2890,2.8421,0.3093
157,2.8892,0.3000,2.8197,0.3137
158,2.9139,0.3008,2.8435,0.3125
159,2.8908,0.3004,2.8333,0.3116
160,2.9132,0.3062,2.8386,0.3125
161,2.9015,0.3026,2.8361,0.3150
162,2.8951,0.2998,2.8348,0.3154
163,2.9046,0.3068,2.8236,0.3189
164,2.8848,0.3032,2.8151,0.3172
165,2.8794,0.3064,2.8007,0.3241
166,2.8961,0.3004,2.8330,0.3162
167,2.8729,0.2980,2.7905,0.3200
168,2.8834,0.3070,2.8014,0.3237
169,2.8751,0.3024,2.7836,0.3224
170,2.8558,0.3114,2.7949,0.3200
171,2.8513,0.3054,2.7840,0.3237
172,2.8661,0.3098,2.8036,0.3256
173,2.8606,0.3116,2.8133,0.3190
174,2.8366,0.3162,2.7617,0.3294
175,2.8619,0.3036,2.7646,0.3307
176,2.8416,0.3158,2.7681,0.3276
177,2.8394,0.3112,2.7853,0.3266
178,2.8467,0.3094,2.7648,0.3323
179,2.8397,0.3130,2.7735,0.3299
180,2.8778,0.3046,2.7809,0.3273
181,2.8431,0.3128,2.7762,0.3272
182,2.8600,0.3114,2.7748,0.3289
183,2.8516,0.3196,2.7748,0.3267
184,2.8245,0.3144,2.7703,0.3287
185,2.8258,0.3180,2.7609,0.3338
186,2.8221,0.3190,2.7587,0.3346
187,2.8332,0.3218,2.7427,0.3387
188,2.8900,0.3126,2.7656,0.3365
189,2.8368,0.3162,2.7557,0.3399
190,2.7989,0.3246,2.7380,0.3324
191,2.8216,0.3172,2.7404,0.3348
192,2.8177,0.3228,2.7539,0.3384
193,2.8288,0.3228,2.7463,0.3349
194,2.8123,0.3192,2.7278,0.3392
195,2.8314,0.3156,2.7383,0.3379
196,2.8134,0.3192,2.7425,0.3377
197,2.7852,0.3140,2.7174,0.3459
198,2.7713,0.3284,2.7154,0.3423
199,2.8222,0.3264,2.7309,0.3416
200,2.7801,0.3382,2.7028,0.3436
201,2.8071,0.3194,2.7195,0.3494
202,2.8011,0.3272,2.7240,0.3379
203,2.8151,0.3296,2.7301,0.3452
204,2.7792,0.3318,2.7299,0.3438
205,2.7591,0.3340,2.7068,0.3420
206,2.7926,0.3234,2.7138,0.3443
207,2.8030,0.3248,2.7232,0.3403
208,2.7824,0.3314,2.7035,0.3503
209,2.7920,0.3292,2.7292,0.3409
210,2.7579,0.3342,2.6903,0.3480
211,2.7793,0.3334,2.6896,0.3475
212,2.7907,0.3314,2.7181,0.3511
213,2.7598,0.3314,2.6871,0.3485
214,2.8004,0.3338,2.6958,0.3435
215,2.7914,0.3294,2.7048,0.3437
216,2.8023,0.3394,2.6996,0.3505
217,2.7984,0.3258,2.6908,0.3487
218,2.7716,0.3364,2.6741,0.3485
219,2.7804,0.3352,2.6777,0.3559
220,2.8263,0.3286,2.7236,0.3536
221,2.7513,0.3316,2.6961,0.3517
222,2.7614,0.3436,2.6734,0.3503
223,2.7685,0.3362,2.6657,0.3581
224,2.7770,0.3314,2.6836,0.3502
225,2.7467,0.3396,2.6696,0.3546
226,2.7650,0.3412,2.6851,0.3600
227,2.7585,0.3414,2.6833,0.3546
228,2.7755,0.3414,2.6783,0.3573
229,2.7602,0.3392,2.6854,0.3548
230,2.7594,0.3414,2.6797,0.3511
231,2.7813,0.3372,2.6734,0.3592
232,2.7490,0.3432,2.6837,0.3558
233,2.7715,0.3358,2.6867,0.3572
234,2.7421,0.3438,2.6416,0.3645
235,2.7226,0.3420,2.6696,0.3586
236,2.7447,0.3458,2.6897,0.3573
237,2.7358,0.3450,2.6765,0.3552
238,2.7269,0.3378,2.6576,0.3600
239,2.7110,0.3468,2.6338,0.3678
240,2.7175,0.3490,2.6396,0.3619
241,2.7501,0.3448,2.6483,0.3648
242,2.7463,0.3424,2.6582,0.3577
243,2.7356,0.3436,2.6327,0.3634
244,2.7004,0.3428,2.6288,0.3625
245,2.7788,0.3474,2.6531,0.3734
246,2.7592,0.3380,2.6535,0.3613
247,2.7393,0.3484,2.6461,0.3680
248,2.7285,0.3516,2.6506,0.3680
249,2.7839,0.3448,2.6790,0.3654
250,2.7971,0.3426,2.6822,0.3632
251,2.7477,0.3496,2.6559,0.3609
252,2.7491,0.3362,2.6581,0.3624
253,2.7197,0.3414,2.6355,0.3659
254,2.7018,0.3536,2.6410,0.3707
