round,val_loss,val_acc,test_loss,test_acc
145,5.9988,0.1752,6.2149,0.1782
146,5.9762,0.1784,6.1564,0.1848
147,6.0627,0.1760,6.2950,0.1833
148,6.1497,0.1772,6.3498,0.1868
149,6.0987,0.1772,6.2754,0.1864
150,6.1823,0.1802,6.4203,0.1855
151,6.1702,0.1748,6.3705,0.1881
152,6.2374,0.1798,6.4575,0.1894
153,6.2837,0.1780,6.5457,0.1880
154,6.2508,0.1774,6.5190,0.1856
155,6.3394,0.1738,6.6130,0.1839
156,6.1840,0.1694,6.4498,0.1856
157,6.2879,0.1758,6.5571,0.1840
158,6.3702,0.1768,6.5682,0.1856
159,6.3174,0.1744,6.5936,0.1862
160,6.3862,0.1780,6.6345,0.1866
161,6.4373,0.1726,6.6856,0.1858
162,6.4947,0.1750,6.7422,0.1846
163,6.5396,0.1784,6.8221,0.1837
164,6.4962,0.1726,6.7521,0.1882
165,6.5680,0.1792,6.8598,0.1851
166,6.6041,0.1830,6.9381,0.1879
167,6.5753,0.1824,6.9305,0.1838
168,6.7342,0.1802,7.0131,0.1870
169,6.5854,0.1756,6.8445,0.1834
170,6.8178,0.1792,7.1190,0.1862
171,6.7976,0.1786,6.9952,0.1845
172,6.7524,0.1828,7.0583,0.1863
173,6.6723,0.1782,7.0063,0.1855
174,6.7662,0.1828,7.0665,0.1826
175,6.8137,0.1740,7.0477,0.1813
176,6.9775,0.1698,7.2460,0.1817
177,6.8628,0.1782,7.1236,0.1820
178,6.8335,0.1772,7.1109,0.1871
179,6.8335,0.1848,7.1787,0.1855
180,7.0768,0.1754,7.3370,0.1879
181,6.9601,0.1748,7.3529,0.1842
182,7.1187,0.1716,7.3649,0.1854
183,7.1813,0.1782,7.4998,0.1838
184,7.0016,0.1744,7.2254,0.1900
185,7.2086,0.1830,7.5439,0.1883
186,7.1457,0.1826,7.4386,0.1868
187,7.3143,0.1676,7.6068,0.1862
188,7.1979,0.1750,7.5374,0.1858
189,7.1231,0.1792,7.5039,0.1850
190,7.3048,0.1776,7.5906,0.1870
191,7.2519,0.1764,7.5052,0.1882
192,7.3734,0.1766,7.6921,0.1871
193,7.3893,0.1770,7.7717,0.1823
194,7.3750,0.1790,7.7186,0.1850
195,7.3579,0.1808,7.7048,0.1817
196,7.4507,0.1800,7.7644,0.1822
197,7.3891,0.1766,7.7533,0.1824
198,7.3000,0.1800,7.6094,0.1873
199,7.4307,0.1772,7.7358,0.1840
200,7.5027,0.1752,7.7591,0.1870
201,7.6296,0.1716,7.9204,0.1844
202,7.5232,0.1840,7.8106,0.1872
203,7.5710,0.1812,7.8990,0.1879
204,7.6250,0.1740,7.9875,0.1863
205,7.6369,0.1766,7.9924,0.1862
206,7.6968,0.1820,8.0203,0.1834
207,7.8308,0.1714,8.0937,0.1874
208,7.7591,0.1830,8.1391,0.1842
209,7.7903,0.1760,8.0850,0.1837
210,7.9068,0.1776,8.2037,0.1871
211,7.8508,0.1776,8.1600,0.1874
212,7.9353,0.1794,8.2801,0.1848
213,7.8602,0.1712,8.2375,0.1875
214,7.9511,0.1702,8.2587,0.1868
215,8.0032,0.1742,8.3521,0.1851
216,8.0353,0.1754,8.3285,0.1877
217,7.8624,0.1790,8.2914,0.1860
218,7.9870,0.1738,8.3149,0.1887
219,7.9269,0.1772,8.2945,0.1862
220,8.0247,0.1716,8.3587,0.1846
221,8.1369,0.1778,8.5058,0.1883
222,8.0471,0.1748,8.4806,0.1859
223,8.2054,0.1804,8.5103,0.1872
224,8.2303,0.1790,8.5485,0.1877
225,8.1484,0.1798,8.5418,0.1862
226,8.2501,0.1800,8.6612,0.1882
227,8.1377,0.1764,8.5551,0.1844
228,8.2642,0.1794,8.6262,0.1866
229,8.1617,0.1806,8.5007,0.1868
230,8.2291,0.1764,8.6530,0.1855
231,8.2818,0.1862,8.6746,0.1874
232,8.3293,0.1762,8.6393,0.1837
233,8.3429,0.1834,8.7279,0.1886
234,8.4036,0.1778,8.7491,0.1857
235,8.6175,0.1786,8.9075,0.1844
236,8.5158,0.1766,8.8642,0.1891
237,8.4061,0.1780,8.8491,0.1880
238,8.3522,0.1734,8.8503,0.1827
239,8.4317,0.1758,8.8038,0.1857
240,8.4539,0.1748,8.8160,0.1878
241,8.7212,0.1730,9.0502,0.1857
242,8.4755,0.1782,8.9634,0.1909
243,8.6483,0.1826,8.9701,0.1875
244,8.6812,0.1796,9.0180,0.1877
245,8.6004,0.1732,8.9880,0.1861
246,8.6844,0.1712,9.0086,0.1855
247,8.5872,0.1770,9.0256,0.1861
248,8.7550,0.1776,9.0887,0.1846
249,8.7755,0.1778,9.1178,0.1865
250,8.6082,0.1794,9.0890,0.1863
251,8.6671,0.1774,9.0555,0.1927
252,8.8115,0.1788,9.1741,0.1874
253,8.8202,0.1790,9.2107,0.1879
254,8.7783,0.1776,9.1732,0.1874
255,8.8842,0.1770,9.2412,0.1870
256,8.8170,0.1804,9.2040,0.1887
257,8.7834,0.1790,9.1799,0.1839
258,8.8222,0.1776,9.1768,0.1842
259,8.9519,0.1818,9.3078,0.1869
260,8.9783,0.1824,9.3035,0.1886
261,9.0294,0.1760,9.4405,0.1861
262,8.9898,0.1824,9.4366,0.1847
263,8.9519,0.1812,9.3995,0.1876
264,9.0674,0.1814,9.4705,0.1860
265,8.9765,0.1770,9.3878,0.1852
266,8.9873,0.1766,9.4857,0.1854
267,8.9334,0.1824,9.3946,0.1876
268,9.0259,0.1756,9.4284,0.1837
269,8.9597,0.1802,9.3805,0.1891
270,9.0847,0.1776,9.5169,0.1867
271,9.1816,0.1734,9.5585,0.1861
272,9.2798,0.1814,9.6788,0.1866
273,9.1521,0.1772,9.6781,0.1874
274,9.2626,0.1710,9.6905,0.1861
275,9.1119,0.1764,9.5701,0.1852
276,9.1315,0.1756,9.6234,0.1850
277,9.2672,0.1734,9.6399,0.1863
278,9.3526,0.1816,9.7386,0.1890
279,9.3092,0.1866,9.7220,0.1876
280,9.3608,0.1804,9.7737,0.1851
281,9.5045,0.1814,9.9079,0.1888
282,9.5042,0.1792,9.9138,0.1868
283,9.4042,0.1800,9.8137,0.1834
284,9.5069,0.1834,10.0009,0.1886
285,9.4187,0.1782,9.7951,0.1868
286,9.4012,0.1814,9.8614,0.1827
287,9.3607,0.1816,9.8193,0.1866
288,9.4177,0.1774,9.8578,0.1832
289,9.5021,0.1792,9.8788,0.1851
290,9.5078,0.1820,9.9389,0.1834
291,9.4422,0.1814,9.9638,0.1881
292,9.5649,0.1774,9.9419,0.1886
293,9.4261,0.1858,9.9413,0.1862
294,9.5790,0.1760,9.9975,0.1867
