round,val_loss,val_acc,test_loss,test_acc
145,6.0010,0.1904,6.3499,0.1926
146,6.0755,0.1854,6.4004,0.1956
147,6.0115,0.1896,6.3927,0.1916
148,6.0723,0.1900,6.4067,0.1889
149,6.0992,0.1864,6.4455,0.1948
150,6.0781,0.1912,6.4408,0.1916
151,6.0787,0.1880,6.5071,0.1931
152,6.1596,0.1846,6.5764,0.1918
153,6.0611,0.1918,6.4603,0.1935
154,6.2018,0.1966,6.6001,0.1963
155,6.2663,0.1882,6.6163,0.1903
156,6.2661,0.1922,6.6647,0.1930
157,6.3316,0.1896,6.7073,0.1917
158,6.4305,0.1898,6.7647,0.1923
159,6.4606,0.1908,6.8569,0.1944
160,6.2605,0.1954,6.6639,0.1955
161,6.4016,0.1822,6.7494,0.1894
162,6.4426,0.1904,6.8044,0.1961
163,6.4328,0.1906,6.8618,0.1910
164,6.5626,0.1876,6.9746,0.1942
165,6.5515,0.1926,6.9573,0.1929
166,6.5858,0.1924,7.0078,0.1923
167,6.6172,0.1930,7.0280,0.1912
168,6.6824,0.1918,7.1289,0.1935
169,6.6653,0.1864,7.0960,0.1954
170,6.7709,0.1904,7.1972,0.1944
171,6.8058,0.1844,7.2201,0.1919
172,6.8054,0.1854,7.2055,0.1937
173,6.8273,0.1886,7.2263,0.1913
174,6.7367,0.1910,7.2444,0.1937
175,6.9276,0.1874,7.3372,0.1936
176,6.7869,0.1930,7.2656,0.1918
177,6.9074,0.1868,7.3502,0.1942
178,6.7977,0.1906,7.3390,0.1936
179,6.9504,0.1900,7.3615,0.1947
180,7.0588,0.1838,7.4390,0.1902
181,6.9389,0.1910,7.4600,0.1921
182,7.0743,0.1884,7.4846,0.1931
183,7.1025,0.1956,7.5397,0.1939
184,7.0315,0.1860,7.5001,0.1932
185,7.0663,0.1924,7.5095,0.1935
186,7.0749,0.1894,7.4928,0.1909
187,7.1683,0.1930,7.6488,0.1945
188,7.2224,0.1848,7.6438,0.1917
189,7.2569,0.1922,7.6713,0.1920
190,7.2423,0.1936,7.7464,0.1970
191,7.2105,0.1934,7.6910,0.1969
192,7.4214,0.1868,7.7904,0.1942
193,7.2551,0.1880,7.7083,0.1906
194,7.2563,0.1904,7.7500,0.1920
195,7.3383,0.1914,7.8049,0.1920
196,7.2578,0.1924,7.8184,0.1923
197,7.4080,0.1868,7.8843,0.1911
198,7.4900,0.1878,8.0308,0.1935
199,7.4670,0.1864,7.8722,0.1924
200,7.5153,0.1880,7.9892,0.1934
