round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
1,6.5758,0.0108,5.9892,0.0100,6.5658,0.0099
2,5.0105,0.0094,4.9638,0.0100,5.0113,0.0101
3,5.4546,0.0096,5.2830,0.0100,5.4273,0.0100
4,5.2448,0.0116,5.1095,0.0100,5.2417,0.0098
5,7.2633,0.0092,6.7801,0.0100,7.2363,0.0101
6,4.7228,0.0108,4.7001,0.0099,4.7311,0.0104
7,16.0296,0.0108,13.7829,0.0100,16.0246,0.0099
8,4.6795,0.0120,4.6664,0.0100,4.6816,0.0098
9,18.1569,0.0092,15.6886,0.0100,18.1113,0.0101
10,4.7016,0.0108,4.6866,0.0102,4.7056,0.0108
11,5.4188,0.0060,5.2388,0.0089,5.4164,0.0082
12,5.0078,0.0108,4.9282,0.0145,5.0097,0.0118
13,6.9684,0.0110,6.6802,0.0129,6.9790,0.0127
14,4.8124,0.0100,4.7588,0.0100,4.8155,0.0100
15,7.4879,0.0108,7.2157,0.0105,7.4319,0.0112
16,4.8018,0.0106,4.7468,0.0129,4.8110,0.0130
17,5.2431,0.0102,5.0850,0.0102,5.2622,0.0104
18,5.1270,0.0100,4.9809,0.0100,5.1333,0.0100
19,5.3089,0.0096,5.1240,0.0100,5.3043,0.0100
20,6.7337,0.0148,6.3580,0.0150,6.7151,0.0142
21,5.0981,0.0092,4.9829,0.0102,5.0846,0.0102
22,4.7476,0.0094,4.7144,0.0100,4.7382,0.0101
23,4.9199,0.0074,4.8527,0.0100,4.9127,0.0103
24,5.1204,0.0122,5.0338,0.0132,5.1243,0.0135
25,7.1699,0.0108,6.7644,0.0099,7.1329,0.0105
26,4.8555,0.0106,4.8049,0.0101,4.8493,0.0099
27,6.5363,0.0096,6.1778,0.0100,6.5223,0.0100
28,4.8497,0.0112,4.8140,0.0153,4.8544,0.0116
29,5.4331,0.0096,5.2930,0.0100,5.4401,0.0100
30,4.9220,0.0106,4.8854,0.0103,4.9317,0.0103
31,4.9149,0.0100,4.8668,0.0100,4.9075,0.0100
32,8.6916,0.0080,8.1446,0.0100,8.6095,0.0102
33,4.8003,0.0080,4.7855,0.0100,4.8011,0.0102
34,5.8927,0.0156,5.8188,0.0159,5.8737,0.0161
35,5.1534,0.0136,5.0794,0.0136,5.1490,0.0127
36,5.2985,0.0094,5.1986,0.0100,5.2885,0.0101
37,5.4456,0.0106,5.3343,0.0108,5.4339,0.0105
38,5.1126,0.0122,5.0374,0.0141,5.1095,0.0135
39,5.1144,0.0098,5.0488,0.0100,5.1160,0.0100
40,4.9904,0.0142,4.9443,0.0152,4.9892,0.0158
41,5.1360,0.0096,5.1010,0.0103,5.1374,0.0101
42,5.2895,0.0076,5.2047,0.0100,5.2952,0.0103
43,4.9174,0.0096,4.9123,0.0100,4.9287,0.0100
44,5.9949,0.0184,5.9531,0.0179,5.9964,0.0170
45,4.8894,0.0078,4.8939,0.0087,4.9082,0.0083
46,7.4185,0.0100,7.7423,0.0115,7.4118,0.0105
47,4.8554,0.0128,4.8285,0.0105,4.8646,0.0101
48,5.2366,0.0098,5.1853,0.0107,5.2372,0.0100
49,4.7563,0.0144,4.7435,0.0127,4.7644,0.0120
50,5.2711,0.0092,5.2390,0.0099,5.2828,0.0099
