round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
50,3.5140,0.1716,3.4782,0.1772,3.4795,0.1748
51,3.4779,0.1778,3.4810,0.1784,3.4477,0.1790
52,3.4784,0.1786,3.4576,0.1834,3.4362,0.1788
53,3.4713,0.1816,3.4661,0.1776,3.4370,0.1790
54,3.4594,0.1848,3.4568,0.1838,3.4167,0.1847
55,3.4484,0.1776,3.4411,0.1873,3.4109,0.1837
56,3.4352,0.1902,3.4282,0.1832,3.3902,0.1902
57,3.4093,0.1902,3.3992,0.1955,3.3616,0.1943
58,3.4166,0.1828,3.4100,0.1915,3.3678,0.1913
59,3.4050,0.1876,3.3995,0.1994,3.3543,0.1977
60,3.4081,0.1952,3.3800,0.1959,3.3508,0.1964
61,3.3979,0.1982,3.3745,0.1988,3.3394,0.1977
62,3.3745,0.1994,3.3606,0.1983,3.3250,0.1980
63,3.3588,0.2022,3.3356,0.2028,3.3041,0.2025
64,3.3579,0.2036,3.3618,0.1996,3.3096,0.2036
65,3.3464,0.2032,3.3366,0.2090,3.2927,0.2076
66,3.3337,0.2062,3.3372,0.2044,3.2814,0.2088
67,3.3287,0.2054,3.3274,0.2060,3.2637,0.2092
68,3.3232,0.2014,3.3200,0.2116,3.2502,0.2133
69,3.2940,0.2102,3.2929,0.2159,3.2428,0.2159
70,3.3229,0.2110,3.2912,0.2177,3.2530,0.2180
71,3.3095,0.2012,3.3043,0.2149,3.2472,0.2139
72,3.3103,0.2102,3.2600,0.2204,3.2312,0.2170
73,3.2798,0.2092,3.2626,0.2210,3.1961,0.2244
74,3.2709,0.2194,3.2828,0.2197,3.2113,0.2225
75,3.2456,0.2196,3.2419,0.2260,3.1727,0.2298
76,3.2535,0.2208,3.2557,0.2164,3.1773,0.2264
77,3.2385,0.2238,3.2563,0.2183,3.1708,0.2294
78,3.2225,0.2274,3.2266,0.2289,3.1541,0.2322
79,3.2562,0.2218,3.2396,0.2247,3.1685,0.2285
80,3.2409,0.2272,3.2375,0.2306,3.1624,0.2322
81,3.2419,0.2276,3.2250,0.2287,3.1489,0.2339
82,3.2360,0.2286,3.2293,0.2303,3.1574,0.2332
83,3.1997,0.2258,3.1955,0.2305,3.1178,0.2393
84,3.2184,0.2290,3.1837,0.2371,3.1269,0.2387
85,3.2061,0.2318,3.1806,0.2340,3.1065,0.2423
86,3.1928,0.2316,3.2102,0.2356,3.1136,0.2412
87,3.2090,0.2326,3.1817,0.2401,3.1048,0.2420
88,3.1614,0.2326,3.1696,0.2358,3.0735,0.2474
