name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,1,15.3463,0.0100,12.9607,0.0100,15.3509,0.0100
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,2,4.8015,0.0090,4.7464,0.0115,4.7858,0.0105
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,3,39.4128,0.0086,37.3977,0.0100,38.9252,0.0102
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,4,4.6389,0.0104,4.6488,0.0082,4.6485,0.0076
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,5,8.7705,0.0122,9.0987,0.0100,8.7688,0.0098
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,6,6.3954,0.0106,5.9088,0.0101,6.3524,0.0105
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,7,35.0187,0.0100,29.7329,0.0100,34.4198,0.0100
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,8,4.6404,0.0158,4.6448,0.0171,4.6429,0.0146
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,9,20.9294,0.0116,22.0182,0.0100,20.8798,0.0098
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,10,5.0737,0.0096,4.9490,0.0100,5.0483,0.0100
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,11,27.2178,0.0096,21.3812,0.0100,27.2123,0.0100
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,12,14.8269,0.0102,16.3202,0.0100,14.7436,0.0100
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,13,21.0493,0.0100,19.4715,0.0100,21.0471,0.0100
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,14,9.1140,0.0098,9.8770,0.0100,9.0485,0.0100
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,15,4.6739,0.0120,4.6673,0.0100,4.6813,0.0098
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,16,42.3220,0.0120,32.7824,0.0124,42.8486,0.0112
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,17,5.0156,0.0104,4.9913,0.0093,5.0087,0.0102
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,18,6.6147,0.0106,6.3210,0.0100,6.5492,0.0099
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,19,5.6055,0.0114,5.5332,0.0095,5.5860,0.0094
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,20,5.6687,0.0128,5.5352,0.0110,5.6585,0.0103
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,21,5.0753,0.0108,5.0263,0.0097,5.0618,0.0111
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,22,5.2005,0.0142,5.0972,0.0135,5.1913,0.0137
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,23,8.6878,0.0110,8.3894,0.0110,8.6161,0.0110
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,24,5.7006,0.0100,5.5031,0.0100,5.6725,0.0100
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,25,7.4131,0.0094,7.0376,0.0089,7.3426,0.0099
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,26,5.2281,0.0128,5.1042,0.0106,5.2118,0.0116
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,27,6.5417,0.0090,5.9575,0.0117,6.5054,0.0107
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,28,5.4094,0.0100,5.2184,0.0116,5.3892,0.0101
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,29,5.8154,0.0110,5.4290,0.0092,5.8051,0.0120
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,30,5.2462,0.0158,5.0725,0.0139,5.2530,0.0142
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,31,5.6393,0.0100,5.3368,0.0103,5.6521,0.0109
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,32,5.5340,0.0126,5.2309,0.0151,5.5373,0.0123
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,33,5.1740,0.0158,5.0249,0.0167,5.2006,0.0162
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,34,5.6323,0.0172,5.3269,0.0155,5.6585,0.0146
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,35,5.5565,0.0174,5.3112,0.0184,5.5658,0.0168
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,36,6.0860,0.0162,5.6570,0.0129,6.1112,0.0140
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,37,5.1971,0.0128,5.0603,0.0149,5.2071,0.0142
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,38,6.1467,0.0122,5.7010,0.0116,6.1382,0.0103
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,39,5.0473,0.0138,4.9439,0.0134,5.0287,0.0136
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,40,5.8208,0.0110,5.4004,0.0100,5.7810,0.0100
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,41,5.4144,0.0124,5.1399,0.0140,5.3935,0.0136
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,42,5.6752,0.0108,5.3725,0.0130,5.6535,0.0124
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,43,5.7425,0.0134,5.3860,0.0135,5.7296,0.0129
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,44,5.2429,0.0124,5.0876,0.0099,5.2449,0.0117
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,45,6.1559,0.0096,5.6411,0.0119,6.1373,0.0111
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,46,5.3644,0.0104,5.1612,0.0095,5.3737,0.0100
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,47,6.7241,0.0130,5.9564,0.0155,6.6549,0.0124
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,48,5.0338,0.0154,4.9535,0.0136,5.0359,0.0144
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,49,5.9956,0.0152,5.6675,0.0148,5.9978,0.0138
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,50,4.9986,0.0120,4.9019,0.0116,4.9895,0.0136
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,51,6.5788,0.0128,5.9087,0.0154,6.5623,0.0138
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,52,5.8294,0.0096,5.4067,0.0115,5.8000,0.0100
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,53,5.3758,0.0112,5.0739,0.0138,5.3509,0.0131
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,54,5.3325,0.0146,5.1097,0.0143,5.2948,0.0137
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,55,5.2356,0.0098,5.0585,0.0103,5.2331,0.0099
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,56,5.9044,0.0134,5.5434,0.0124,5.9121,0.0147
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,57,5.4428,0.0106,5.2301,0.0114,5.4183,0.0113
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,58,5.7673,0.0182,5.4855,0.0160,5.7418,0.0157
hetetogeneous_shard_non_iid_50_J_4_LR_0.01,59,5.5251,0.0084,5.2773,0.0099,5.5057,0.0101
