round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
1,7.2482,0.0118,6.5860,0.0100,7.2410,0.0098
2,5.3599,0.0096,5.1735,0.0095,5.3248,0.0099
3,9.5605,0.0080,8.7701,0.0100,9.4854,0.0102
4,4.6379,0.0106,4.6263,0.0106,4.6356,0.0100
5,12.0288,0.0122,10.3570,0.0100,11.9504,0.0098
6,4.6565,0.0106,4.6444,0.0102,4.6477,0.0099
7,7.2589,0.0116,6.4522,0.0100,7.2130,0.0098
8,5.7890,0.0104,5.5374,0.0100,5.7448,0.0100
9,6.0325,0.0106,5.4987,0.0100,6.0186,0.0099
10,5.7637,0.0100,5.4387,0.0100,5.7758,0.0100
11,8.8003,0.0092,7.7212,0.0100,8.7560,0.0101
12,4.6477,0.0108,4.6396,0.0100,4.6460,0.0099
13,6.5180,0.0094,5.9590,0.0100,6.4871,0.0101
14,5.2724,0.0076,5.2417,0.0100,5.2492,0.0103
15,8.5994,0.0090,7.9836,0.0100,8.5881,0.0101
16,4.6862,0.0088,4.6582,0.0100,4.6862,0.0101
17,12.5386,0.0100,9.9742,0.0100,12.4936,0.0100
18,4.7062,0.0116,4.6915,0.0099,4.7130,0.0098
19,9.9507,0.0118,10.1774,0.0100,10.0124,0.0098
20,4.6296,0.0096,4.6227,0.0099,4.6252,0.0096
21,14.1792,0.0096,11.4893,0.0100,14.0362,0.0100
22,4.6963,0.0106,4.6934,0.0100,4.6886,0.0099
23,23.4621,0.0084,24.2938,0.0100,23.2148,0.0102
24,4.6545,0.0078,4.6549,0.0102,4.6578,0.0102
25,15.8641,0.0096,14.9187,0.0100,15.7740,0.0100
26,4.7486,0.0080,4.7674,0.0100,4.7579,0.0102
27,6.3602,0.0104,5.9705,0.0123,6.3944,0.0114
28,6.8675,0.0102,6.3940,0.0100,6.8820,0.0100
29,4.9442,0.0090,4.8651,0.0100,4.9558,0.0102
30,5.4485,0.0100,5.3564,0.0099,5.4357,0.0100
31,5.2000,0.0124,5.0161,0.0109,5.2022,0.0100
32,5.2061,0.0122,5.0375,0.0136,5.2022,0.0112
33,5.1340,0.0096,4.9849,0.0115,5.1437,0.0114
34,6.5024,0.0110,6.0243,0.0098,6.5043,0.0091
35,4.8636,0.0120,4.8185,0.0113,4.8747,0.0108
36,7.8820,0.0090,7.0875,0.0100,7.8905,0.0101
37,4.8499,0.0108,4.8228,0.0100,4.8632,0.0099
38,6.6332,0.0086,6.1335,0.0100,6.6548,0.0102
39,4.9281,0.0096,4.8820,0.0097,4.9342,0.0098
40,6.2732,0.0100,6.5133,0.0100,6.2747,0.0100
41,6.2211,0.0100,5.9210,0.0100,6.2081,0.0100
42,5.3059,0.0094,5.2358,0.0103,5.2977,0.0102
43,5.3961,0.0110,5.2835,0.0124,5.4000,0.0116
44,4.8319,0.0090,4.8156,0.0096,4.8408,0.0094
45,7.1778,0.0094,7.0106,0.0100,7.1697,0.0101
46,4.8985,0.0122,4.9703,0.0112,4.9139,0.0105
47,5.2066,0.0092,5.1535,0.0100,5.2052,0.0101
48,5.6310,0.0096,5.5636,0.0108,5.6402,0.0100
49,5.2337,0.0106,5.1706,0.0100,5.2397,0.0099
50,5.7744,0.0100,5.5795,0.0102,5.7902,0.0100
51,5.1649,0.0102,5.1145,0.0100,5.1809,0.0100
52,5.1075,0.0106,5.1050,0.0119,5.1151,0.0128
53,5.3201,0.0112,5.2531,0.0124,5.3292,0.0124
54,5.0759,0.0102,5.0305,0.0100,5.0811,0.0100
55,6.1312,0.0156,5.9803,0.0147,6.1352,0.0151
56,5.1212,0.0142,5.1126,0.0139,5.1246,0.0138
57,6.5357,0.0098,6.0169,0.0102,6.5123,0.0103
58,4.7627,0.0118,4.7453,0.0113,4.7723,0.0103
59,5.4185,0.0120,5.3478,0.0112,5.4344,0.0104
60,5.0714,0.0092,4.9790,0.0100,5.0710,0.0101
61,6.0089,0.0076,5.6462,0.0100,5.9915,0.0103
62,4.8722,0.0158,4.8602,0.0156,4.8730,0.0157
63,5.7512,0.0098,5.6217,0.0100,5.7388,0.0100
64,4.8879,0.0100,4.8561,0.0109,4.8970,0.0107
65,4.9518,0.0090,4.9171,0.0100,4.9662,0.0101
66,6.1073,0.0090,6.0097,0.0100,6.1031,0.0101
67,5.2568,0.0150,5.1206,0.0115,5.2609,0.0145
68,5.4563,0.0094,5.3503,0.0100,5.4479,0.0101
69,5.1241,0.0128,5.0431,0.0135,5.1180,0.0123
70,8.7380,0.0096,7.6360,0.0118,8.7032,0.0101
71,4.9640,0.0138,4.9055,0.0125,4.9693,0.0116
72,5.9954,0.0090,5.7848,0.0105,5.9933,0.0103
73,6.1958,0.0122,5.9270,0.0135,6.2019,0.0135
74,5.0151,0.0102,4.9714,0.0103,5.0187,0.0101
75,5.5765,0.0100,5.3892,0.0104,5.5645,0.0100
76,5.4943,0.0096,5.2802,0.0098,5.4925,0.0108
77,4.8068,0.0110,4.7834,0.0093,4.8159,0.0086
78,5.7625,0.0058,5.6618,0.0049,5.7733,0.0052
79,4.9762,0.0076,4.9276,0.0090,4.9775,0.0086
80,6.2713,0.0088,5.8985,0.0108,6.2446,0.0107
81,4.9979,0.0106,4.9231,0.0105,4.9855,0.0107
82,5.0845,0.0100,5.0011,0.0100,5.0822,0.0100
83,5.3319,0.0106,5.2098,0.0102,5.3085,0.0101
84,5.2969,0.0118,5.1697,0.0171,5.2630,0.0177
85,4.8728,0.0096,4.8317,0.0115,4.8576,0.0110
86,5.1490,0.0118,5.0487,0.0134,5.1334,0.0140
87,5.2995,0.0198,5.2523,0.0188,5.2990,0.0186
88,5.7168,0.0080,5.7213,0.0083,5.6905,0.0092
