round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
100,3.1227,0.2480,3.0728,0.2570,3.0010,0.2626
101,3.1162,0.2470,3.1117,0.2531,2.9902,0.2636
102,3.1340,0.2486,3.0571,0.2610,2.9802,0.2666
103,3.1178,0.2440,3.0782,0.2560,2.9770,0.2674
104,3.1205,0.2506,3.0829,0.2516,2.9794,0.2660
105,3.1089,0.2472,3.0848,0.2578,2.9772,0.2653
106,3.0875,0.2532,3.0949,0.2505,2.9506,0.2694
107,3.0914,0.2584,3.0950,0.2552,2.9629,0.2684
108,3.1039,0.2558,3.0949,0.2561,2.9434,0.2755
109,3.0838,0.2512,3.0550,0.2634,2.9318,0.2745
110,3.0765,0.2568,3.0719,0.2559,2.9276,0.2751
111,3.0600,0.2552,3.0283,0.2625,2.9077,0.2782
112,3.0737,0.2634,3.0546,0.2648,2.9223,0.2779
113,3.0923,0.2598,3.0434,0.2639,2.9133,0.2786
114,3.0862,0.2588,3.0746,0.2608,2.9070,0.2783
115,3.0660,0.2568,3.0488,0.2644,2.8907,0.2828
116,3.0457,0.2680,3.0243,0.2677,2.8970,0.2816
117,3.0539,0.2662,3.0436,0.2654,2.8839,0.2858
118,3.0354,0.2640,3.0187,0.2640,2.8722,0.2834
119,3.0487,0.2692,3.0408,0.2683,2.8825,0.2840
120,3.0529,0.2618,3.0301,0.2676,2.8748,0.2865
121,3.0667,0.2648,3.0393,0.2670,2.8717,0.2873
122,3.0186,0.2656,3.0125,0.2725,2.8454,0.2883
123,3.0364,0.2734,3.0412,0.2699,2.8603,0.2872
124,3.0602,0.2662,3.0131,0.2689,2.8767,0.2833
125,3.0242,0.2710,3.0159,0.2744,2.8505,0.2920
126,3.0501,0.2666,3.0173,0.2711,2.8480,0.2931
127,3.0298,0.2706,3.0183,0.2686,2.8395,0.2910
128,3.0361,0.2710,2.9918,0.2767,2.8384,0.2936
129,3.0261,0.2720,3.0220,0.2712,2.8331,0.2921
130,3.0178,0.2734,2.9667,0.2853,2.8204,0.2979
131,3.0246,0.2724,2.9873,0.2789,2.8042,0.2978
132,3.0096,0.2676,2.9981,0.2806,2.7992,0.2983
133,3.0164,0.2776,2.9700,0.2779,2.7959,0.2997
134,3.0204,0.2850,2.9810,0.2882,2.7905,0.3050
135,3.0353,0.2748,2.9792,0.2801,2.7937,0.3010
136,3.0263,0.2738,3.0220,0.2797,2.8052,0.3014
137,2.9781,0.2798,2.9532,0.2867,2.7580,0.3085
138,2.9830,0.2798,2.9639,0.2854,2.7600,0.3094
139,3.0243,0.2822,2.9667,0.2868,2.7899,0.3024
140,2.9818,0.2884,2.9587,0.2862,2.7624,0.3072
141,2.9754,0.2896,2.9690,0.2866,2.7515,0.3096
142,3.0029,0.2798,2.9660,0.2852,2.7679,0.3084
143,3.0224,0.2816,2.9487,0.2864,2.7698,0.3054
144,2.9629,0.2842,2.9400,0.2903,2.7311,0.3126
145,2.9777,0.2800,2.9336,0.2893,2.7532,0.3064
146,2.9480,0.2826,2.9221,0.2923,2.7276,0.3122
147,2.9848,0.2792,2.9301,0.2872,2.7404,0.3113
148,2.9774,0.2908,2.9090,0.2946,2.7291,0.3124
149,2.9424,0.2876,2.9317,0.2947,2.7165,0.3170
150,2.9899,0.2918,2.9125,0.2961,2.7346,0.3126
151,2.9609,0.2846,2.9490,0.2878,2.7110,0.3169
152,2.9444,0.2856,2.9117,0.2981,2.6930,0.3195
153,2.9499,0.2844,2.9410,0.2953,2.7006,0.3176
154,2.9508,0.2950,2.9027,0.2987,2.6907,0.3208
155,2.9386,0.2916,2.9041,0.3006,2.6663,0.3255
156,2.9571,0.2926,2.8907,0.3033,2.6707,0.3249
157,2.9459,0.2832,2.9023,0.3006,2.6813,0.3227
158,2.9599,0.2918,2.9057,0.3008,2.6645,0.3276
159,2.9433,0.2924,2.9202,0.3046,2.6651,0.3279
160,2.9303,0.2952,2.9037,0.3003,2.6681,0.3236
161,2.9258,0.2906,2.8891,0.3036,2.6514,0.3316
162,2.9276,0.2968,2.8999,0.3051,2.6605,0.3298
163,2.9481,0.2918,2.8963,0.3014,2.6529,0.3269
164,2.9457,0.2984,2.8919,0.3061,2.6581,0.3311
165,2.9400,0.2966,2.8639,0.3093,2.6665,0.3280
166,2.9427,0.2950,2.9034,0.3058,2.6513,0.3334
167,2.9106,0.2918,2.8507,0.3074,2.6303,0.3317
168,2.9161,0.2970,2.8868,0.3095,2.6220,0.3367
169,2.9292,0.2900,2.8759,0.3057,2.6169,0.3364
170,2.9267,0.3000,2.8826,0.3084,2.6253,0.3342
171,2.9343,0.2994,2.8607,0.3116,2.6066,0.3374
172,2.9167,0.2966,2.8535,0.3077,2.6082,0.3393
173,2.9292,0.2994,2.8787,0.3078,2.6251,0.3366
174,2.9092,0.2994,2.8592,0.3130,2.6025,0.3392
175,2.9060,0.2986,2.8494,0.3144,2.5944,0.3417
176,2.9468,0.3002,2.8910,0.3076,2.6052,0.3404
177,2.9250,0.2992,2.8712,0.3109,2.5866,0.3440
178,2.8887,0.3012,2.8170,0.3139,2.5766,0.3411
179,2.9172,0.3076,2.8591,0.3130,2.5961,0.3447
180,2.9175,0.3026,2.8783,0.3103,2.5840,0.3439
181,2.8963,0.2966,2.8415,0.3130,2.5607,0.3484
182,2.8965,0.3116,2.8582,0.3129,2.5617,0.3472
183,2.9074,0.3002,2.8148,0.3231,2.5505,0.3499
184,2.8782,0.3006,2.8251,0.3157,2.5430,0.3486
185,2.8751,0.3078,2.8228,0.3231,2.5592,0.3481
186,2.9154,0.3170,2.8740,0.3098,2.5552,0.3514
187,2.8776,0.2996,2.8105,0.3194,2.5250,0.3550
188,2.9059,0.3050,2.8389,0.3167,2.5444,0.3525
189,2.8831,0.3094,2.8389,0.3177,2.5379,0.3510
