client_id,accuracy
1,0.4688888888888889
2,0.6377777777777778
3,0.5355555555555556
4,0.6311111111111111
5,0.6044444444444445
6,0.6066666666666667
7,0.4
8,0.44666666666666666
9,0.6133333333333333
10,0.5555555555555556
11,0.43555555555555553
12,0.5355555555555556
13,0.6066666666666667
14,0.5511111111111111
15,0.5688888888888889
16,0.5533333333333333
17,0.5644444444444444
18,0.5666666666666667
19,0.5511111111111111
20,0.5933333333333334
21,0.58
22,0.5444444444444444
23,0.5266666666666666
24,0.5
25,0.5133333333333333
26,0.6488888888888888
27,0.6333333333333333
28,0.4822222222222222
29,0.5711111111111111
30,0.6466666666666666
31,0.6488888888888888
32,0.5911111111111111
33,0.6888888888888889
34,0.5711111111111111
35,0.5733333333333334
36,0.46444444444444444
37,0.5644444444444444
38,0.43333333333333335
39,0.5466666666666666
40,0.6577777777777778
41,0.6133333333333333
42,0.5444444444444444
43,0.5844444444444444
44,0.2577777777777778
45,0.38222222222222224
46,0.6933333333333334
47,0.5511111111111111
48,0.5355555555555556
49,0.4288888888888889
50,0.6533333333333333
51,0.32666666666666666
52,0.6333333333333333
53,0.5022222222222222
54,0.5866666666666667
55,0.5733333333333334
56,0.6533333333333333
57,0.6311111111111111
58,0.62
59,0.5977777777777777
60,0.6533333333333333
61,0.5911111111111111
62,0.5844444444444444
63,0.54
64,0.5422222222222223
65,0.6466666666666666
66,0.5777777777777777
67,0.56
68,0.5133333333333333
69,0.6733333333333333
70,0.5622222222222222
71,0.62
72,0.5888888888888889
73,0.6088888888888889
74,0.5244444444444445
75,0.35555555555555557
76,0.6022222222222222
77,0.6577777777777778
78,0.5622222222222222
79,0.5666666666666667
80,0.5755555555555556
81,0.5311111111111111
82,0.6111111111111112
83,0.5888888888888889
84,0.5466666666666666
85,0.6044444444444445
86,0.5133333333333333
87,0.6333333333333333
88,0.5555555555555556
89,0.5444444444444444
90,0.4911111111111111
91,0.56
92,0.5911111111111111
93,0.6577777777777778
94,0.6288888888888889
95,0.64
96,0.5911111111111111
97,0.5711111111111111
98,0.44666666666666666
99,0.6022222222222222
100,0.6444444444444445
