round,val_loss,val_acc,test_loss,test_acc
145,2.9735,0.2830,2.9353,0.2957
146,3.0046,0.2840,2.9318,0.2923
147,2.9780,0.2746,2.9099,0.2938
148,2.9624,0.2902,2.8942,0.3029
149,2.9597,0.2810,2.9118,0.2964
150,2.9626,0.2880,2.9125,0.2960
151,2.9832,0.2856,2.8842,0.2952
152,2.9596,0.2824,2.8843,0.3040
153,2.9669,0.2890,2.9029,0.2982
154,2.9452,0.2862,2.8893,0.3016
155,2.9492,0.2834,2.8730,0.3058
156,2.9333,0.2960,2.8661,0.3088
157,2.9514,0.2858,2.8880,0.3006
158,2.9627,0.2838,2.8842,0.3021
159,2.9360,0.2928,2.8432,0.3075
160,2.9448,0.2922,2.8747,0.3035
161,2.9190,0.2924,2.8879,0.3030
162,2.9463,0.2908,2.8872,0.3062
163,2.9210,0.2876,2.8718,0.3042
164,2.9424,0.2936,2.8478,0.3046
165,2.9152,0.2938,2.8393,0.3080
166,2.8983,0.2984,2.8381,0.3127
167,2.9041,0.2914,2.8240,0.3134
168,2.9261,0.2928,2.8203,0.3181
169,2.8993,0.2988,2.8388,0.3155
170,2.8787,0.2966,2.8188,0.3129
171,2.9206,0.2992,2.8457,0.3158
172,2.9105,0.2938,2.8478,0.3106
173,2.9205,0.2996,2.8059,0.3162
174,2.8922,0.3004,2.8429,0.3126
175,2.9192,0.3052,2.8383,0.3151
176,2.9138,0.3040,2.8311,0.3138
177,2.9243,0.2934,2.8643,0.3110
178,2.8830,0.3050,2.8116,0.3212
179,2.9249,0.2958,2.8270,0.3156
180,2.8786,0.2980,2.8022,0.3167
181,2.9189,0.3000,2.8212,0.3210
182,2.8967,0.3074,2.8111,0.3174
183,2.8868,0.3032,2.8155,0.3228
184,2.8512,0.3114,2.7553,0.3279
185,2.8745,0.3052,2.7568,0.3265
186,2.8627,0.3102,2.7734,0.3261
187,2.8566,0.3094,2.7848,0.3228
188,2.8759,0.3052,2.7678,0.3268
189,2.8748,0.3124,2.7898,0.3252
190,2.8719,0.3196,2.7763,0.3281
191,2.8708,0.3156,2.7744,0.3314
192,2.8594,0.3206,2.7890,0.3317
193,2.8429,0.3148,2.7789,0.3275
194,2.8210,0.3150,2.7327,0.3325
195,2.8804,0.3140,2.7954,0.3306
196,2.8507,0.3122,2.7498,0.3325
197,2.8444,0.3100,2.7658,0.3306
198,2.8345,0.3110,2.7498,0.3333
199,2.8620,0.3082,2.7355,0.3389
200,2.8359,0.3218,2.7464,0.3327
201,2.8341,0.3158,2.7438,0.3355
202,2.8403,0.3116,2.7684,0.3271
203,2.8393,0.3122,2.7575,0.3352
204,2.8602,0.3184,2.7477,0.3391
205,2.8329,0.3204,2.7064,0.3475
206,2.8143,0.3160,2.7158,0.3469
207,2.8369,0.3150,2.7460,0.3352
208,2.8544,0.3220,2.7522,0.3420
209,2.8261,0.3222,2.7116,0.3441
210,2.8111,0.3240,2.7300,0.3426
211,2.8639,0.3154,2.7403,0.3367
212,2.8454,0.3202,2.7615,0.3373
213,2.7876,0.3204,2.7036,0.3444
214,2.7936,0.3210,2.7047,0.3453
215,2.8225,0.3204,2.7116,0.3452
216,2.7698,0.3278,2.6799,0.3463
217,2.7875,0.3214,2.6978,0.3434
218,2.8020,0.3270,2.7054,0.3500
219,2.7845,0.3230,2.6977,0.3465
220,2.7879,0.3306,2.6945,0.3456
221,2.8059,0.3308,2.7101,0.3494
222,2.8155,0.3268,2.6817,0.3546
223,2.8046,0.3324,2.7100,0.3495
224,2.7757,0.3352,2.6875,0.3474
225,2.7961,0.3246,2.6739,0.3542
226,2.8342,0.3294,2.7071,0.3559
227,2.7974,0.3290,2.7088,0.3496
228,2.8314,0.3386,2.7014,0.3553
229,2.8220,0.3240,2.6909,0.3529
230,2.7733,0.3320,2.6496,0.3567
231,2.7903,0.3312,2.7004,0.3513
232,2.7810,0.3356,2.6773,0.3572
233,2.7485,0.3410,2.6831,0.3591
234,2.7802,0.3378,2.6840,0.3561
235,2.7556,0.3356,2.6414,0.3541
236,2.7634,0.3408,2.6831,0.3544
237,2.7728,0.3342,2.6834,0.3548
238,2.7959,0.3338,2.6596,0.3603
239,2.7566,0.3336,2.6570,0.3539
240,2.7688,0.3472,2.6852,0.3580
241,2.7900,0.3346,2.6513,0.3601
242,2.7738,0.3356,2.6723,0.3561
243,2.7641,0.3368,2.6666,0.3584
244,2.7977,0.3318,2.6893,0.3562
245,2.7820,0.3408,2.6412,0.3666
246,2.7615,0.3398,2.6528,0.3619
247,2.7658,0.3384,2.6532,0.3639
248,2.7528,0.3406,2.6467,0.3614
249,2.7439,0.3458,2.6726,0.3600
250,2.7425,0.3456,2.6484,0.3611
251,2.7804,0.3478,2.6687,0.3653
252,2.7928,0.3432,2.6538,0.3714
253,2.7498,0.3412,2.6440,0.3618
254,2.7701,0.3388,2.6378,0.3705
255,2.7241,0.3506,2.6330,0.3683
256,2.7242,0.3416,2.6158,0.3703
257,2.7660,0.3448,2.6616,0.3680
258,2.7613,0.3406,2.6392,0.3646
259,2.7365,0.3500,2.6416,0.3683
260,2.7665,0.3428,2.6503,0.3637
261,2.7786,0.3500,2.6600,0.3755
262,2.7060,0.3450,2.6394,0.3678
263,2.7255,0.3492,2.6225,0.3687
264,2.7746,0.3450,2.6362,0.3715
265,2.7363,0.3532,2.6351,0.3727
266,2.7454,0.3440,2.6557,0.3727
267,2.7262,0.3430,2.6133,0.3690
268,2.7352,0.3566,2.6497,0.3719
269,2.7300,0.3508,2.6165,0.3750
270,2.7669,0.3476,2.6588,0.3720
271,2.7598,0.3500,2.6290,0.3725
272,2.7517,0.3590,2.6583,0.3709
273,2.7459,0.3544,2.6306,0.3760
274,2.7291,0.3556,2.6248,0.3722
275,2.7471,0.3452,2.6370,0.3757
276,2.7508,0.3470,2.6457,0.3695
277,2.7947,0.3430,2.6504,0.3728
278,2.7719,0.3538,2.6388,0.3754
279,2.7412,0.3600,2.6414,0.3737
280,2.7696,0.3520,2.6256,0.3771
281,2.7489,0.3510,2.6562,0.3749
282,2.7489,0.3534,2.6547,0.3726
283,2.7361,0.3562,2.6494,0.3776
284,2.7576,0.3514,2.6227,0.3804
285,2.7374,0.3506,2.6692,0.3770
286,2.7107,0.3610,2.6262,0.3713
287,2.7742,0.3566,2.6733,0.3778
288,2.7166,0.3594,2.6270,0.3788
289,2.7580,0.3454,2.6245,0.3755
290,2.7497,0.3584,2.6529,0.3771
291,2.7097,0.3544,2.6256,0.3751
292,2.7343,0.3594,2.6194,0.3787
293,2.7058,0.3558,2.5903,0.3805
294,2.7391,0.3514,2.6348,0.3812
295,2.7399,0.3506,2.6062,0.3824
296,2.7312,0.3542,2.6288,0.3804
297,2.7376,0.3586,2.6213,0.3846
298,2.7233,0.3610,2.6285,0.3846
299,2.6783,0.3620,2.5915,0.3827
300,2.7411,0.3582,2.6475,0.3870
301,2.7129,0.3594,2.5993,0.3837
302,2.7213,0.3550,2.6192,0.3819
303,2.7308,0.3590,2.6312,0.3831
304,2.6683,0.3616,2.6018,0.3841
305,2.7164,0.3596,2.6189,0.3842
306,2.7411,0.3550,2.6407,0.3793
307,2.7601,0.3584,2.6486,0.3842
308,2.7051,0.3586,2.6114,0.3778
309,2.7218,0.3632,2.6421,0.3830
310,2.7110,0.3628,2.6206,0.3812
311,2.7350,0.3606,2.6187,0.3864
312,2.7146,0.3656,2.6098,0.3841
313,2.7202,0.3654,2.6293,0.3840
314,2.6978,0.3624,2.5983,0.3826
315,2.7124,0.3632,2.6120,0.3844
316,2.7387,0.3610,2.6591,0.3848
317,2.7409,0.3558,2.6178,0.3854
318,2.7379,0.3622,2.6527,0.3894
319,2.7175,0.3640,2.5978,0.3849
320,2.7549,0.3724,2.6357,0.3885
321,2.7326,0.3588,2.6252,0.3817
322,2.6757,0.3710,2.6081,0.3908
323,2.7103,0.3670,2.6132,0.3887
324,2.7239,0.3610,2.6320,0.3877
325,2.7864,0.3568,2.6714,0.3836
326,2.7051,0.3716,2.6282,0.3887
327,2.7272,0.3638,2.6251,0.3860
328,2.7449,0.3598,2.6468,0.3836
329,2.7588,0.3664,2.6659,0.3913
330,2.7494,0.3614,2.6399,0.3929
331,2.7676,0.3628,2.6577,0.3919
332,2.6995,0.3714,2.6252,0.3873
333,2.7400,0.3664,2.6450,0.3887
334,2.7503,0.3654,2.6497,0.3870
335,2.6882,0.3796,2.6276,0.3942
336,2.7157,0.3682,2.6316,0.3896
337,2.7109,0.3744,2.6201,0.3948
338,2.7035,0.3632,2.5877,0.3999
339,2.7293,0.3612,2.6230,0.3922
340,2.7213,0.3688,2.6268,0.3961
341,2.7253,0.3634,2.6352,0.3940
342,2.7277,0.3612,2.6099,0.3921
343,2.7234,0.3642,2.6205,0.3945
344,2.7199,0.3670,2.6301,0.3905
345,2.7192,0.3738,2.6290,0.3917
346,2.7791,0.3606,2.6974,0.3869
347,2.7183,0.3730,2.6356,0.3949
348,2.7269,0.3694,2.6472,0.3959
349,2.7706,0.3576,2.6540,0.3914
350,2.7471,0.3708,2.6570,0.3944
351,2.7096,0.3698,2.6123,0.3954
352,2.7244,0.3698,2.6110,0.3941
353,2.7405,0.3646,2.6403,0.3904
354,2.6992,0.3790,2.6462,0.3894
355,2.7537,0.3638,2.6469,0.3914
356,2.7056,0.3628,2.6265,0.3914
357,2.7366,0.3648,2.6503,0.3934
358,2.6908,0.3778,2.6152,0.3957
359,2.7254,0.3652,2.5886,0.3976
360,2.7255,0.3832,2.6607,0.3981
361,2.7225,0.3710,2.6076,0.3972
362,2.7225,0.3742,2.6375,0.3995
363,2.6584,0.3864,2.6181,0.3997
364,2.7036,0.3716,2.6111,0.4005
365,2.7100,0.3762,2.6454,0.3970
366,2.6935,0.3712,2.6372,0.3996
367,2.7739,0.3722,2.6929,0.3942
368,2.6891,0.3734,2.6229,0.3959
369,2.7311,0.3778,2.6446,0.3934
370,2.6898,0.3688,2.6245,0.3952
371,2.6884,0.3758,2.6000,0.3999
372,2.7294,0.3752,2.6492,0.3992
373,2.7283,0.3782,2.6413,0.4015
374,2.6907,0.3716,2.6127,0.3998
375,2.7306,0.3758,2.6563,0.4024
376,2.7189,0.3774,2.6480,0.3951
377,2.7180,0.3828,2.6180,0.4017
378,2.7259,0.3732,2.6265,0.4027
379,2.7094,0.3794,2.6504,0.3952
380,2.6955,0.3764,2.6292,0.3978
381,2.7591,0.3762,2.6671,0.3968
382,2.7757,0.3706,2.6863,0.3974
383,2.7109,0.3722,2.6364,0.3973
384,2.7371,0.3730,2.6789,0.4036
385,2.7143,0.3750,2.6482,0.3984
386,2.7450,0.3798,2.6775,0.3969
387,2.7434,0.3772,2.6592,0.4037
388,2.7395,0.3746,2.6305,0.4048
389,2.7356,0.3680,2.6561,0.4021
390,2.7390,0.3718,2.6607,0.4028
391,2.7463,0.3728,2.6443,0.4042
392,2.7284,0.3832,2.6585,0.4018
393,2.7508,0.3766,2.6538,0.4025
394,2.7238,0.3756,2.6295,0.4065
395,2.7051,0.3750,2.6273,0.4023
396,2.7250,0.3740,2.6625,0.4060
397,2.6819,0.3832,2.6338,0.3968
398,2.7333,0.3870,2.6477,0.4031
399,2.7387,0.3772,2.6393,0.4046
400,2.6990,0.3768,2.6374,0.3989
401,2.7839,0.3770,2.6864,0.4037
402,2.7450,0.3858,2.6787,0.4004
403,2.8016,0.3764,2.6795,0.4042
404,2.7346,0.3820,2.6667,0.4022
405,2.7371,0.3768,2.6489,0.4082
406,2.7613,0.3846,2.6978,0.4049
407,2.7783,0.3822,2.6678,0.4038
408,2.7334,0.3804,2.6505,0.4072
409,2.7414,0.3724,2.6494,0.3992
410,2.7419,0.3784,2.6691,0.4012
411,2.7528,0.3748,2.6863,0.4050
412,2.7589,0.3778,2.6810,0.3973
413,2.7765,0.3826,2.6802,0.4058
414,2.7007,0.3862,2.6244,0.4027
415,2.7551,0.3894,2.6817,0.4057
416,2.7326,0.3852,2.6685,0.4077
417,2.7221,0.3910,2.6629,0.4023
418,2.7525,0.3836,2.6670,0.4055
419,2.7426,0.3754,2.6577,0.4039
420,2.7518,0.3878,2.6938,0.4048
421,2.7474,0.3772,2.6607,0.4013
422,2.7381,0.3802,2.6894,0.4016
423,2.7680,0.3752,2.6985,0.4016
424,2.7545,0.3764,2.6580,0.3989
425,2.7473,0.3838,2.7111,0.4035
426,2.7667,0.3872,2.7264,0.4042
427,2.7009,0.3776,2.6463,0.4019
428,2.7795,0.3842,2.7046,0.4067
429,2.7286,0.3822,2.6505,0.4068
430,2.7509,0.3874,2.6855,0.4090
431,2.7758,0.3770,2.6808,0.4079
432,2.7133,0.3886,2.6449,0.4067
433,2.7416,0.3848,2.6705,0.4031
434,2.7695,0.3884,2.6978,0.4061
435,2.7671,0.3786,2.6899,0.4046
436,2.7500,0.3858,2.6640,0.4116
437,2.7615,0.3804,2.6887,0.4049
438,2.7754,0.3844,2.6724,0.4067
439,2.7104,0.3810,2.6455,0.4056
440,2.7514,0.3764,2.6883,0.4054
441,2.7442,0.3824,2.6750,0.4047
442,2.7533,0.3798,2.6860,0.4080
443,2.7771,0.3800,2.6865,0.4019
444,2.7418,0.3862,2.6653,0.4108
445,2.7159,0.3850,2.6700,0.4118
446,2.7300,0.3858,2.6892,0.4062
447,2.7264,0.3848,2.7082,0.4053
448,2.7394,0.3816,2.7091,0.4001
449,2.7749,0.3820,2.7372,0.3994
450,2.7323,0.3854,2.6784,0.4074
451,2.7488,0.3926,2.7080,0.4071
452,2.7372,0.3834,2.6962,0.4032
453,2.7465,0.3804,2.6867,0.4101
454,2.7963,0.3874,2.7329,0.4092
455,2.7684,0.3846,2.7162,0.4116
456,2.7273,0.3862,2.6643,0.4109
457,2.7477,0.3902,2.6959,0.4079
458,2.7259,0.3856,2.6681,0.4085
459,2.7383,0.3844,2.6652,0.4151
460,2.7917,0.3886,2.7409,0.4077
461,2.7323,0.3828,2.6772,0.4060
462,2.7492,0.3898,2.6767,0.4147
463,2.7699,0.3884,2.7117,0.4106
464,2.7047,0.3878,2.6628,0.4086
465,2.7651,0.3902,2.7051,0.4078
466,2.7605,0.3912,2.6981,0.4098
467,2.7457,0.3900,2.6753,0.4120
468,2.7436,0.3886,2.7295,0.4084
469,2.7645,0.3832,2.7180,0.4070
470,2.7290,0.3868,2.6845,0.4116
471,2.7898,0.3866,2.7185,0.4069
472,2.7625,0.3838,2.6867,0.4143
473,2.8069,0.3856,2.7079,0.4113
474,2.7724,0.3894,2.7085,0.4127
475,2.7968,0.3896,2.7378,0.4113
476,2.7663,0.3928,2.7122,0.4154
477,2.7633,0.3842,2.7105,0.4097
478,2.8093,0.3862,2.7578,0.4110
479,2.7660,0.3884,2.7400,0.4128
480,2.7519,0.3962,2.7228,0.4107
481,2.7967,0.3918,2.7472,0.4139
482,2.7894,0.3824,2.7189,0.4116
483,2.7626,0.3864,2.6859,0.4140
484,2.7453,0.3972,2.6870,0.4179
485,2.7560,0.3832,2.7147,0.4134
486,2.7740,0.3888,2.7177,0.4134
487,2.7768,0.3834,2.7368,0.4121
488,2.7641,0.3930,2.7353,0.4120
489,2.7735,0.3878,2.6929,0.4114
490,2.7778,0.3880,2.7228,0.4159
491,2.8019,0.3896,2.7316,0.4099
492,2.7717,0.3948,2.7147,0.4128
493,2.7785,0.3894,2.7219,0.4143
494,2.7575,0.3940,2.7166,0.4128
495,2.7432,0.3960,2.6994,0.4164
496,2.7706,0.3918,2.7171,0.4173
497,2.7893,0.3976,2.7330,0.4157
498,2.7897,0.3880,2.7456,0.4122
499,2.7486,0.3916,2.6829,0.4150
500,2.8047,0.3930,2.7410,0.4148
501,2.8021,0.3902,2.7576,0.4139
502,2.8240,0.3832,2.7455,0.4149
503,2.7745,0.3872,2.7187,0.4157
504,2.7545,0.3916,2.7036,0.4151
505,2.7509,0.3960,2.7083,0.4155
506,2.7502,0.3944,2.6954,0.4131
507,2.7661,0.3926,2.6977,0.4206
508,2.7972,0.3870,2.7440,0.4209
509,2.7576,0.3942,2.7378,0.4187
510,2.7524,0.3898,2.6960,0.4175
511,2.8156,0.3970,2.7522,0.4158
512,2.7339,0.3982,2.7227,0.4171
513,2.7858,0.3944,2.7370,0.4154
514,2.8133,0.3920,2.7537,0.4159
515,2.7746,0.3978,2.7263,0.4205
516,2.8166,0.3906,2.7511,0.4128
517,2.7966,0.3952,2.7171,0.4182
518,2.7545,0.3910,2.7155,0.4140
519,2.7814,0.3864,2.7294,0.4199
520,2.8123,0.3946,2.7517,0.4201
521,2.7837,0.3902,2.7178,0.4152
522,2.7791,0.3934,2.7339,0.4185
523,2.7524,0.3890,2.7247,0.4157
524,2.7853,0.4006,2.7509,0.4190
525,2.8110,0.3892,2.7596,0.4163
526,2.7979,0.3944,2.7462,0.4138
527,2.7752,0.3970,2.7485,0.4163
528,2.7498,0.3942,2.6974,0.4153
529,2.7713,0.3964,2.7503,0.4128
530,2.7944,0.3872,2.7348,0.4094
531,2.8112,0.3880,2.7222,0.4202
532,2.7794,0.4004,2.7288,0.4195
533,2.8088,0.3970,2.7445,0.4195
534,2.8984,0.3902,2.8196,0.4182
535,2.7740,0.3938,2.7211,0.4178
536,2.7553,0.4008,2.7267,0.4193
537,2.7702,0.3938,2.7319,0.4235
538,2.7705,0.3942,2.7194,0.4206
539,2.7843,0.3916,2.7431,0.4215
540,2.8411,0.3964,2.7351,0.4188
541,2.8253,0.3830,2.7776,0.4163
542,2.8188,0.3926,2.7558,0.4185
543,2.8047,0.3916,2.7486,0.4187
544,2.8209,0.3992,2.7868,0.4170
545,2.8421,0.3950,2.7941,0.4175
546,2.8593,0.3932,2.8033,0.4167
547,2.8373,0.3940,2.7655,0.4172
548,2.8495,0.3922,2.7864,0.4194
549,2.9058,0.3888,2.8238,0.4199
550,2.7945,0.3980,2.7319,0.4203
551,2.8184,0.4020,2.7824,0.4198
552,2.8170,0.3902,2.7541,0.4159
553,2.8431,0.3922,2.7934,0.4186
554,2.9000,0.3854,2.8197,0.4155
555,2.8260,0.3960,2.7562,0.4182
556,2.9106,0.3916,2.8363,0.4162
557,2.7624,0.3974,2.7214,0.4180
558,2.8522,0.3980,2.8060,0.4214
559,2.8533,0.3914,2.7963,0.4220
560,2.7959,0.3980,2.7610,0.4198
561,2.8080,0.3994,2.7686,0.4235
562,2.7750,0.4008,2.7373,0.4211
563,2.8648,0.3974,2.7790,0.4188
564,2.8772,0.3934,2.7859,0.4255
565,2.8119,0.3936,2.7796,0.4226
566,2.8202,0.3920,2.7571,0.4214
567,2.8340,0.3972,2.7730,0.4262
568,2.8547,0.3960,2.7981,0.4215
569,2.8750,0.3866,2.7981,0.4262
570,2.8323,0.3946,2.7652,0.4194
571,2.8273,0.4018,2.7776,0.4209
572,2.7788,0.3962,2.7449,0.4201
573,2.8517,0.3902,2.7730,0.4215
574,2.8443,0.4008,2.7959,0.4219
575,2.8596,0.3916,2.7748,0.4186
576,2.8354,0.3936,2.7571,0.4235
577,2.8398,0.4056,2.7886,0.4225
