Nc_label,J,mean,std,count
Nc=0,4,0.4424666666666666,0.0023544284515213906,3
Nc=1,4,0.35955000000000004,0.11419774516162746,2
Nc=1,8,0.2559,,1
Nc=1,16,0.1949,,1
Nc=10,4,0.4441,0.0029698484809834867,2
Nc=10,8,0.3853,,1
Nc=10,16,0.3187,,1
Nc=5,4,0.4278,,1
Nc=5,8,0.344,,1
Nc=5,16,0.3261,,1
Nc=50,4,0.4448,,1
Nc=50,8,0.3975,,1
Nc=50,16,0.3367,,1
iid,4,0.4492,,1
iid,8,0.394,,1
iid,16,0.3576,,1
